placeId,title,placeURL,location/lat,location/lng,label,
ChIJcx44d_2V1i0RJPQNFKOaDjg,Alocasia Cafe and Eatery,https://maps.app.goo.gl/3Xcqz4msLuZs6MnSA,-8.1698451,113.7239701,estetis,
,,,,,luas,
,,,,,santai,
ChIJu6CAsySV1i0RO4xpcDW5DSs,BELIKOPI. Jember,https://maps.app.goo.gl/ct4L26tXPzdz4H698,-8.1701028,113.7172935,bersih,
,,,,,santai,
,,,,,tenang,
ChIJgaSgQQKV1i0RNTHcruo-0ag,RANGKUM Coffee,https://maps.app.goo.gl/mivcv64V3XUpuNcEA,-8.1575446,113.7150712,nyaman,
,,,,,sajian estetis,
,,,,,penuh,
,,,,,rumahan,
ChIJOY3WLQOV1i0RwuwHYc0rUg4,Glovic Bakery & Coffee Gatsu,https://maps.app.goo.gl/q1XZTJ8EPgxK1A8W9,-8.1727615,113.7005602,toko roti,
,,,,,estetis,
,,,,,nyaman,
ChIJXb90c3iV1i0RjmZsp_jCRyg,Tomoro Coffee - Jl Jawa Jember,https://maps.app.goo.gl/2ow24DFg2v82DtSi7,-8.1694818,113.7150061,estetis,
,,,,,luas,
,,,,,tenang,
ChIJfwPNV2eV1i0Rpz-C5nnFWdk,ruma kayu,https://maps.app.goo.gl/Lz6YjmouZWmXKL1QA,-8.1817688,113.6899886,estetis,
,,,,,rumahan,
,,,,,santai,
ChIJuwjkbQCV1i0RY5O_bQwdFdI,TAXIS CAFE & EATERY,https://maps.app.goo.gl/CqvQHbyy5iDE8L8W8,-8.1736667,113.7316997,luar ruangan,
,,,,,luas,
,,,,,rustic,
ChIJEXJtGNeX1i0R6EftAgaS3Yk,Grofee Coffee,https://maps.app.goo.gl/g9ZRhYqbKFMnu2wLA,-8.1886417,113.713439,nyaman,
,,,,,sajian estetis,
,,,,,santai,
ChIJk0rV8c-V1i0Rptk09IwbuBs,Cafe cangkirkita,https://maps.app.goo.gl/Pdh4NbMnqigXkoyx7,-8.1691889,113.7260672,harga terjangkau,
,,,,,lesehan,
,,,,,luar ruangan,
ChIJHRhX4pWX1i0RslvmUUB3fQs,Podo Joyo Coffee & Eatery,https://maps.app.goo.gl/h2waRmWE4Pv7YiT88,-8.1898125,113.7201875,estetis,10
,,,,,nyaman,
,,,,,tenang,
